jornada, local, visita
16,,
,UdC,HH
,LC,IQ
,U,TM
,SL,AI
,UE,UC
,EV,CC
,AN,PA
,CR,OH
17,,
,EV,OH
,LC,UC
,UE,U
,UdC,TM
,PA,SL
,HH,CR
,AI,IQ
,CC,AN
18,,
,U,HH
,IQ,EV
,TM,CC
,AI,PA
,AN,LC
,CR,UdC
,OH,UE
,UC,SL
19,,
,TM,AN
,PA,UC
,CC,CR
,SL,OH
,UE,IQ
,HH,AI
,LC,EV
,UdC,U
20,,
,AN,U
,AI,UdC
,OH,LC
,PA,TM
,SL,UE
,EV,HH
,IQ,CC
,UC,CR
21,,
,UdC,PA
,LC,CC
,UC,IQ
,UE,AI
,CR,SL
,U,OH
,TM,EV
,HH,AN
22,,
,HH,UE
,SL,TM
,LC,PA
,EV,UdC
,CR,IQ
,OH,AN
,CC,U
,AI,UC
23,,
,UC,EV
,AN,CR
,U,AI
,CC,SL
,IQ,OH
,UdC,LC
,TM,HH
,PA,UE
