jornada, local, visita
23,,
,UC,SL
,LC,EV
,TM,HH
,CC,PA
,OH,UdC
,U,IQ
,AN,UE
,AI,CR
24,,
,U,LC
,IQ,TM
,SL,HH
,AN,AI
,CR,PA
,UE,EV
,UC,OH
,CC,UdC
25,,
,UdC,U
,UE,CR
,HH,UC
,TM,OH
,AI,CC
,EV,AN
,PA,IQ
,LC,SL
26,,
,OH,PA
,CC,UE
,SL,AN
,U,EV
,UC,UdC
,CR,LC
,TM,AI
,IQ,HH
27,,
,CR,OH
,UdC,IQ
,AI,LC
,PA,U
,UE,TM
,AN,UC
,HH,CC
,SL,EV
28,,
,CC,AN
,IQ,SL
,LC,HH
,TM,CR
,U,UC
,UdC,UE
,EV,PA
,OH,AI
29,,
,AI,IQ
,PA,UE
,AN,UdC
,UC,CC
,CR,EV
,HH,OH
,SL,U
,LC,TM
30,,
,EV,AI
,OH,CC
,UdC,SL
,CR,U
,TM,UC
,PA,HH
,IQ,AN
,UE,LC
